robot,payload,stage,t,v
amr1,unloaded,nav,39.100,0.0000
amr1,unloaded,smoothed,27.108,0.0200
amr1,unloaded,smoothed,27.138,0.0400
amr1,unloaded,smoothed,27.163,0.0600
amr1,unloaded,smoothed,27.194,0.0800
amr1,unloaded,smoothed,27.232,0.1000
amr1,unloaded,smoothed,27.263,0.1200
amr1,unloaded,smoothed,27.290,0.1400
amr1,unloaded,smoothed,27.318,0.1600
amr1,unloaded,smoothed,27.345,0.1800
amr1,unloaded,smoothed,27.372,0.2000
amr1,unloaded,smoothed,27.401,0.2200
amr1,unloaded,smoothed,27.427,0.2400
amr1,unloaded,smoothed,27.457,0.2600
amr1,unloaded,smoothed,27.485,0.2800
amr1,unloaded,smoothed,27.515,0.3000
amr1,unloaded,smoothed,27.542,0.3200
amr1,unloaded,smoothed,27.568,0.3400
amr1,unloaded,smoothed,27.592,0.3600
amr1,unloaded,smoothed,27.616,0.3800
amr1,unloaded,smoothed,27.650,0.4000
amr1,unloaded,smoothed,27.679,0.4200
amr1,unloaded,smoothed,27.705,0.4400
amr1,unloaded,smoothed,27.729,0.4600
amr1,unloaded,smoothed,27.758,0.4800
amr1,unloaded,smoothed,27.783,0.5000
amr1,unloaded,smoothed,27.805,0.5000
amr1,unloaded,smoothed,27.828,0.5000
amr1,unloaded,smoothed,27.853,0.5000
amr1,unloaded,smoothed,27.884,0.5000
amr1,unloaded,smoothed,27.909,0.5000
amr1,unloaded,smoothed,27.932,0.5000
amr1,unloaded,smoothed,27.957,0.5000
amr1,unloaded,smoothed,27.985,0.5000
amr1,unloaded,smoothed,28.013,0.5000
amr1,unloaded,smoothed,28.042,0.5000
amr1,unloaded,smoothed,28.066,0.5000
amr1,unloaded,smoothed,28.098,0.5000
amr1,unloaded,smoothed,28.125,0.5000
amr1,unloaded,smoothed,28.152,0.5000
amr1,unloaded,smoothed,28.181,0.5000
amr1,unloaded,smoothed,28.211,0.5000
amr1,unloaded,smoothed,28.242,0.5000
amr1,unloaded,smoothed,28.268,0.5000
amr1,unloaded,smoothed,28.295,0.5000
amr1,unloaded,smoothed,28.321,0.5000
amr1,unloaded,smoothed,28.347,0.5000
amr1,unloaded,smoothed,28.376,0.5000
amr1,unloaded,smoothed,28.400,0.5000
amr1,unloaded,smoothed,28.421,0.5000
amr1,unloaded,smoothed,28.447,0.5000
amr1,unloaded,smoothed,28.475,0.5000
amr1,unloaded,smoothed,28.506,0.5000
amr1,unloaded,smoothed,28.532,0.5000
amr1,unloaded,smoothed,28.558,0.5000
amr1,unloaded,smoothed,28.588,0.5000
amr1,unloaded,smoothed,28.615,0.5000
